Date,Value
1994-01-01,1807.07136699066
1994-02-01,1865.07501472778
1994-03-01,1913.17391866455
1994-04-01,1881.36846713562
1994-05-01,2144.50007046051
1994-06-01,2363.09102303009
1994-07-01,2447.23803404999
1994-08-01,2409.74997397766
1994-09-01,2504.84103139343
1994-10-01,2546.02375416412
1994-11-01,2803.54541098175
1994-12-01,2980.69999645081
1995-01-01,3003.26189506836
1995-02-01,2870.45015814514
1995-03-01,2919.67397804871
1995-04-01,2894.88882296448
1995-05-01,2771.57125569763
1995-06-01,2987.68194348755
1995-07-01,3076.4500581665
1995-08-01,3040.13619641418
1995-09-01,2910.42504276428
1995-10-01,2810.06817431793
1995-11-01,2981.61903664856
1995-12-01,2918.21064537659
1996-01-01,2604.99992943115
1996-02-01,2544.66672335968
1996-03-01,2563.34994940033
1996-04-01,2594.17496803894
1996-05-01,2658.76193080902
1996-06-01,2177.59998270721
1996-07-01,1983.93479971771
1996-08-01,2017.85720584564
1996-09-01,1935.07143060913
1996-10-01,1960.19567519531
1996-11-01,2215.42864607391
1996-12-01,2264.59527826385
1997-01-01,2427.27279402924
1997-02-01,2406.63156159363
1997-03-01,2420.1842087265
1997-04-01,2389.31814949341
1997-05-01,2513.29993523407
1997-06-01,2611.28570015411
1997-07-01,2449.19570404663
1997-08-01,2250.10004305115
1997-09-01,2104.30955452118
1997-10-01,2050.6955684021
1997-11-01,1918.49994499359
1997-12-01,1761.45239143524
1998-01-01,1687.60000986328
1998-02-01,1663.99998604431
1998-03-01,1747.15916341095
1998-04-01,1800.12507817535
1998-05-01,1731.65792903595
1998-06-01,1656.59518632507
1998-07-01,1655.66672697449
1998-08-01,1619.92507875671
1998-09-01,1646.77269191284
1998-10-01,1585.49992534637
1998-11-01,1573.72497511139
1998-12-01,1475.76309447174
1999-01-01,1432.00002842255
1999-02-01,1412.95
1999-03-01,1378.47727272727
1999-04-01,1463.725
1999-05-01,1510.44736842105
1999-06-01,1422.15909090909
1999-07-01,1639.18181818182
1999-08-01,1646.7380952381
1999-09-01,1749.68181818182
1999-10-01,1723.28571428571
1999-11-01,1726.77272727273
1999-12-01,1764.88235294118
2000-01-01,1843.85
2000-02-01,1807.025
2000-03-01,1739.8
2000-04-01,1681.9075
2000-05-01,1785.09782608696
2000-06-01,1752.07272727273
2000-07-01,1803.14285714286
2000-08-01,1857.12391304348
2000-09-01,1961.89285714286
2000-10-01,1894.37272727273
2000-11-01,1795.60227272727
2000-12-01,1852.4
2001-01-01,1787.05681818182
2001-02-01,1766.125
2001-03-01,1742.15909090909
2001-04-01,1665.97222222222
2001-05-01,1684.85
2001-06-01,1610.46904761905
2001-07-01,1526.77045454545
2001-08-01,1466.41136363636
2001-09-01,1427.69736842105
2001-10-01,1377.37608695652
2001-11-01,1434.29318181818
2001-12-01,1472.84705882353
2002-01-01,1508.22727272727
2002-02-01,1561.3675
2002-03-01,1607.3925
2002-04-01,1588.57142857143
2002-05-01,1597.02272727273
2002-06-01,1650.59444444444
2002-07-01,1588.2847826087
2002-08-01,1482.91666666667
2002-09-01,1478.93333333333
2002-10-01,1486.17173913043
2002-11-01,1581.03571428571
2002-12-01,1592.96428571429
2003-01-01,1650.311363636364
2003-02-01,1682.145
2003-03-01,1655.692857142857
2003-04-01,1587.8675
2003-05-01,1651.1
2003-06-01,1685.107142857143
2003-07-01,1712.826086956522
2003-08-01,1756.725
2003-09-01,1789.670454545455
2003-10-01,1925.582608695652
2003-11-01,2053.275
2003-12-01,2202.035714285714
2004-01-01,2421.47619047619
2004-02-01,2751.7175
2004-03-01,3000.282608695652
2004-04-01,2926.975
2004-05-01,2728.460526315789
2004-06-01,2689.045454545455
2004-07-01,2816.795454545455
2004-08-01,2844.202380952381
2004-09-01,2903.170454545455
2004-10-01,3009.404761904762
2004-11-01,3130.309090909091
2004-12-01,3139.785714285714
2005-01-01,3168.1
2005-02-01,3247.1
2005-03-01,3378.904761904762
2005-04-01,3389.809523809524
2005-05-01,3241.9
2005-06-01,3529.727272727273
2005-07-01,3608.47619047619
2005-08-01,3791.909090909091
2005-09-01,3850.659090909091
2005-10-01,4056.166666666667
2005-11-01,4278.159090909091
2005-12-01,4577.025
2006-01-01,4743.857142857143
2006-02-01,4974.975
2006-03-01,5123.673913043478
2006-04-01,6404.444444444444
2006-05-01,8059.190476190476
2006-06-01,7222.772727272727
2006-07-01,7726.738095238095
2006-08-01,7690.25
2006-09-01,7622.642857142857
2006-10-01,7497.409090909091
2006-11-01,7029.295454545455
2006-12-01,6680.973684210526
